2,1s2 2s2 2p3 3d1 3d7.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3d1 3d7.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3d1 3f10.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3d1 3f10.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3d1 3g13.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3d1 3p4.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3d1 3p4.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3d1 3s1.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3d1 3s1.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3d1 5d12.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3p1 1d2.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3p1 1f3.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3p1 1p1.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3p1 1s0.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3p1 3d7.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3p1 3f10.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3p1 3p4.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3s1 1d2.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3s1 1d2.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3s1 1p1.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3s1 1p1.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3s1 3d7.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3s1 3d7.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3s1 3p4.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3s1 3p4.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3s1 3s1.0,1s2 2s2 2p4 1d2.0
2,1s2 2s2 2p3 3s1 3s1.0,1s2 2s2 2p4 3p4.0
2,1s2 2s2 2p3 3s1 5s2.0,1s2 2s2 2p4 3p4.0
3,2s1 2p4 2d4.5,2s2 2p3 2d4.5
3,2s1 2p4 2d4.5,2s2 2p3 2p2.5
3,2s1 2p4 2p2.5,2s2 2p3 2d4.5
3,2s1 2p4 2p2.5,2s2 2p3 2p2.5
3,2s1 2p4 2p2.5,2s2 2p3 4s1.5
3,2s1 2p4 2s0.5,2s2 2p3 2d4.5
3,2s1 2p4 2s0.5,2s2 2p3 2p2.5
3,2s1 2p4 2s0.5,2s2 2p3 4s1.5
3,2s1 2p4 4p5.5,2s2 2p3 4s1.5
3,2s2 2p2 3d1 2d4.5,2s2 2p3 2d4.5
3,2s2 2p2 3d1 2d4.5,2s2 2p3 4s1.5
3,2s2 2p2 3d1 2f6.5,2s2 2p3 2d4.5
3,2s2 2p2 3d1 2f6.5,2s2 2p3 4s1.5
3,2s2 2p2 3d1 2g8.5,2s2 2p3 2d4.5
3,2s2 2p2 3d1 2p2.5,2s2 2p3 2d4.5
3,2s2 2p2 3d1 2p2.5,2s2 2p3 4s1.5
3,2s2 2p2 3d1 2s0.5,2s2 2p3 2d4.5
3,2s2 2p2 3d1 2s0.5,2s2 2p3 4s1.5
3,2s2 2p2 3d1 4d9.5,2s2 2p3 2d4.5
3,2s2 2p2 3d1 4d9.5,2s2 2p3 4s1.5
